epoch,train_loss,train_acc,val_loss,val_acc,time_per_epoch,learning_rate
1,,0.0,3.0537185668945312,0.0,0.0,0.00015
1,,75.0,0.808295726776123,77.51091718673706,20.86799383163452,0.00015
2,2.267641305923462,75.0,0.30735012888908386,90.19893407821655,21.05986738204956,0.00015
3,0.7761086225509644,75.0,0.23398754000663757,92.55216121673584,21.11773443222046,0.00015
4,0.43963173031806946,75.0,0.18620726466178894,93.98350119590759,21.108587980270386,0.00015
5,0.32741284370422363,50.0,0.16082927584648132,94.66278553009033,20.999566078186035,0.00015
6,0.26428723335266113,50.0,0.1309737116098404,95.94857096672058,20.898565769195557,0.00015
7,0.2251507192850113,50.0,0.1354600042104721,95.73022723197937,20.91408061981201,0.00015
8,0.20636947453022003,50.0,0.12428921461105347,96.14264965057373,20.95074200630188,0.00015
9,0.1881154179573059,25.0,0.13020853698253632,95.82726955413818,21.028970956802368,0.00015
10,0.17164693772792816,50.0,0.10408880561590195,96.4337706565857,21.081107139587402,0.00015
11,0.16597649455070496,75.0,0.09850454330444336,96.67637348175049,21.08878207206726,0.00015
12,0.15988589823246002,100.0,0.11408862471580505,96.21542692184448,21.016360759735107,0.00015
13,0.1485590785741806,50.0,0.0897221714258194,97.282874584198,20.982999563217163,0.00015
14,0.14210699498653412,25.0,0.09853897243738174,96.94322943687439,20.903762340545654,0.00015
15,0.14444682002067566,50.0,0.09591558575630188,96.82193398475647,21.057902812957764,0.00015
16,0.13758724927902222,50.0,0.08780738711357117,97.21009135246277,20.978275299072266,0.00015
17,0.1302805244922638,50.0,0.09544218331575394,96.99175357818604,20.998741149902344,0.00015
18,0.1294175386428833,25.0,0.11551687866449356,96.26395106315613,20.921101570129395,0.00015
19,0.12695182859897614,50.0,0.061292845755815506,97.74381518363953,21.02890944480896,0.00015
20,0.11613264679908752,100.0,0.08660173416137695,97.06453084945679,21.138543844223022,0.00015
21,0.11803576350212097,75.0,0.07145810127258301,97.69529104232788,21.11419153213501,0.00015
22,0.11856178939342499,75.0,0.056782208383083344,98.15623760223389,21.073914289474487,0.00015
23,0.1134808361530304,75.0,0.07854756712913513,97.37991094589233,21.04969620704651,0.00015
24,0.10566680133342743,100.0,0.09758488088846207,96.9189703464508,21.04944896697998,0.00015
25,0.10404516756534576,100.0,0.08362778276205063,97.08878993988037,21.012229442596436,0.00015
26,0.10990896821022034,50.0,0.062058787792921066,97.84085154533386,20.932389497756958,0.00015
27,0.10472120344638824,25.0,0.07770617306232452,97.64677286148071,21.01348614692688,0.00015
28,0.10210710018873215,75.0,0.07203316688537598,97.74381518363953,21.115466594696045,0.00015
29,0.10245907306671143,100.0,0.04870404675602913,98.35031628608704,21.089178562164307,7.5e-05
30,0.08464914560317993,50.0,0.06265147775411606,97.88937568664551,20.931947946548462,7.5e-05
31,0.07355546951293945,100.0,0.0771159827709198,97.71955609321594,21.065463542938232,7.5e-05
32,0.07164712250232697,75.0,0.05085505545139313,98.2775330543518,21.06584143638611,7.5e-05
33,0.06764183193445206,100.0,0.045301403850317,98.35031628608704,20.956831693649292,7.5e-05
34,0.06580193340778351,75.0,0.040835365653038025,98.47161769866943,21.000166177749634,7.5e-05
35,0.06532163172960281,100.0,0.05337968096137047,98.0106770992279,21.037199020385742,7.5e-05
36,0.05930614098906517,50.0,0.05965791270136833,98.08345437049866,20.95182776451111,7.5e-05
37,0.06795279681682587,100.0,0.055535055696964264,98.13197255134583,20.977397441864014,7.5e-05
38,0.059599291533231735,75.0,0.05087300017476082,98.30179810523987,20.955899000167847,7.5e-05
39,0.06710635870695114,50.0,0.0739249587059021,97.69529104232788,20.983530282974243,7.5e-05
40,0.06011362001299858,25.0,0.050640106201171875,98.22901487350464,21.098255157470703,7.5e-05
41,0.058845244348049164,50.0,0.03760883957147598,98.7627387046814,21.083624124526978,3.75e-05
42,0.054252952337265015,75.0,0.03727858513593674,98.93255829811096,21.117075204849243,3.75e-05
43,0.04855264723300934,75.0,0.04106484353542328,98.71421456336975,21.05277729034424,3.75e-05
44,0.047511644661426544,100.0,0.042420804500579834,98.5201358795166,21.144097328186035,3.75e-05
45,0.04744024947285652,50.0,0.04388565197587013,98.59291315078735,21.01842474937439,3.75e-05
46,0.0456099696457386,75.0,0.05270121246576309,98.42309355735779,21.048654794692993,3.75e-05
47,0.04380829259753227,50.0,0.05241626128554344,98.49587678909302,21.021000385284424,3.75e-05
48,0.045142654329538345,75.0,0.02963579259812832,99.0295946598053,21.1181640625,3.75e-05
49,0.042719077318906784,75.0,0.04480250924825668,98.56865406036377,20.905628442764282,3.75e-05
50,0.04026610776782036,100.0,0.04560466110706329,98.59291315078735,21.203712463378906,3.75e-05
