epoch,train_loss,train_acc,val_loss,val_acc,time_per_epoch,learning_rate
1,,0.0,3.0537185668945312,0.0,0.0,0.00015
1,,75.0,0.5461061596870422,84.61911678314209,16.25434684753418,0.00015
2,1.6287841796875,75.0,0.26377949118614197,91.70305728912354,15.7558274269104,0.00015
3,0.6046503186225891,75.0,0.21666868031024933,92.94031858444214,15.668928623199463,0.00015
4,0.3893469572067261,50.0,0.1879940778017044,94.12906169891357,15.724681854248047,0.00015
5,0.3033091425895691,50.0,0.1617157757282257,94.8326051235199,15.537970542907715,0.00015
6,0.2506970763206482,50.0,0.13995009660720825,95.46336531639099,15.542677164077759,0.00015
7,0.21546925604343414,50.0,0.1323007196187973,95.77874541282654,15.639898777008057,0.00015
8,0.19997921586036682,50.0,0.12059915065765381,96.21542692184448,15.519294261932373,0.00015
9,0.18256190419197083,50.0,0.12314373254776001,95.99708914756775,15.69730544090271,0.00015
10,0.1651059240102768,50.0,0.10364238917827606,96.57933115959167,15.671061992645264,0.00015
11,0.1609949916601181,75.0,0.1140865907073021,96.21542692184448,15.631245613098145,0.00015
12,0.15721935033798218,100.0,0.09867461025714874,96.5308129787445,15.665390014648438,0.00015
13,0.14712154865264893,50.0,0.08111312985420227,97.40417003631592,15.77727723121643,0.00015
14,0.14335717260837555,50.0,0.10527651011943817,96.60359025001526,15.722729444503784,0.00015
15,0.14153674244880676,50.0,0.08895853906869888,97.30713367462158,15.702951431274414,0.00015
16,0.13438934087753296,50.0,0.08108342438936234,97.30713367462158,19.237599849700928,0.00015
17,0.129235178232193,50.0,0.11342492699623108,96.38525247573853,20.564941883087158,0.00015
18,0.1283246874809265,50.0,0.10933519154787064,96.3124692440033,20.51301670074463,0.00015
19,0.12499275803565979,50.0,0.07172980904579163,97.35565185546875,20.644967794418335,0.00015
20,0.11668744683265686,100.0,0.09068768471479416,97.01601266860962,20.682363271713257,7.5e-05
21,0.0989796444773674,75.0,0.05641122907400131,98.05919528007507,20.562443017959595,7.5e-05
22,0.09395530819892883,75.0,0.06143127381801605,98.08345437049866,20.628090381622314,7.5e-05
23,0.08862423896789551,50.0,0.0680549144744873,97.84085154533386,20.521838426589966,7.5e-05
24,0.07980357855558395,100.0,0.07627662271261215,97.37991094589233,20.612951278686523,7.5e-05
25,0.08024567365646362,100.0,0.06866513937711716,97.76807427406311,20.65330481529236,7.5e-05
26,0.08093265444040298,50.0,0.046515461057424545,98.37457537651062,20.52981400489807,7.5e-05
27,0.08005710691213608,50.0,0.0572550930082798,97.98641204833984,20.654846906661987,7.5e-05
28,0.0783938318490982,100.0,0.06168302148580551,98.03493618965149,20.63124942779541,7.5e-05
29,0.0752190351486206,100.0,0.0468902625143528,98.59291315078735,20.555856466293335,7.5e-05
30,0.07447545975446701,50.0,0.07524636387825012,97.59825468063354,20.614327669143677,7.5e-05
31,0.0691305473446846,100.0,0.07553122192621231,97.81659245491028,20.594879388809204,7.5e-05
32,0.07073576003313065,100.0,0.052232664078474045,98.08345437049866,20.714491844177246,7.5e-05
33,0.06443852186203003,100.0,0.06099781394004822,97.86511659622192,20.59225082397461,7.5e-05
34,0.06871115416288376,75.0,0.049609262496232986,98.2775330543518,20.568395137786865,7.5e-05
35,0.06841641664505005,75.0,0.0616188570857048,98.03493618965149,20.755728483200073,7.5e-05
36,0.06210729107260704,25.0,0.060803838074207306,98.0106770992279,20.495249271392822,3.75e-05
37,0.06251581013202667,100.0,0.05321423336863518,98.20475578308105,20.43293857574463,3.75e-05
38,0.05291748046875,75.0,0.04325796291232109,98.49587678909302,20.622015714645386,3.75e-05
39,0.05959752947092056,100.0,0.0565829798579216,98.15623760223389,20.7158682346344,3.75e-05
40,0.05152915045619011,50.0,0.04000748321413994,98.641437292099,20.580421447753906,3.75e-05
41,0.0483819842338562,25.0,0.03591559827327728,98.81125688552856,20.53765869140625,3.75e-05
42,0.04896250739693642,75.0,0.03600798174738884,98.85977506637573,20.52810764312744,3.75e-05
43,0.046535782516002655,75.0,0.04171706363558769,98.81125688552856,20.507867097854614,3.75e-05
44,0.04737095162272453,100.0,0.04083890840411186,98.59291315078735,20.528952598571777,3.75e-05
45,0.0497879683971405,50.0,0.04587957262992859,98.73847365379333,20.535656213760376,3.75e-05
46,0.04474286362528801,100.0,0.04930981621146202,98.35031628608704,20.59583806991577,3.75e-05
47,0.04537350311875343,75.0,0.06403900682926178,98.08345437049866,20.561031579971313,3.75e-05
48,0.04762391000986099,75.0,0.03253386169672012,98.90829920768738,20.57515001296997,3.75e-05
49,0.04479018971323967,75.0,0.04770127683877945,98.5201358795166,20.533578872680664,3.75e-05
50,0.0424855574965477,100.0,0.047317203134298325,98.5201358795166,20.442449808120728,3.75e-05
