epoch,train_loss,train_acc,val_loss,val_acc,time_per_epoch,learning_rate
1,,0.0,3.166820526123047,0.0,0.0,0.001
1,,65.00000357627869,0.881447434425354,69.70999836921692,58.02550172805786,0.001
2,1.2932522296905518,66.25000238418579,0.8353394269943237,73.43999743461609,58.24642586708069,0.001
3,0.9924836158752441,65.00000357627869,0.6019942164421082,79.01999950408936,58.735257625579834,0.001
4,0.9206384420394897,68.75,0.5799885392189026,80.29000163078308,58.54834485054016,0.001
5,0.8718942999839783,75.0,0.5796690583229065,80.62000274658203,58.92666840553284,0.001
6,0.8388007879257202,73.7500011920929,0.5574183464050293,81.13999962806702,58.20146036148071,0.001
7,0.8223668932914734,72.50000238418579,0.5432185530662537,81.51000142097473,58.72591710090637,0.001
8,0.8050571084022522,72.50000238418579,0.6322499513626099,78.65999937057495,58.26511549949646,0.001
9,0.789997398853302,68.75,0.5218333005905151,82.05000162124634,58.11137580871582,0.001
10,0.7679553031921387,82.4999988079071,0.5175317525863647,82.08000063896179,58.51278519630432,0.001
11,0.7589273452758789,78.75000238418579,0.5251253247261047,82.51000046730042,58.06014847755432,0.001
12,0.7455437779426575,81.25,0.4990282654762268,83.3299994468689,58.466979026794434,0.001
13,0.7438889741897583,75.0,0.4948907792568207,83.0299973487854,58.49223065376282,0.001
14,0.7347373366355896,67.5000011920929,0.420686274766922,85.61000227928162,58.20052886009216,0.001
15,0.7297205328941345,77.50000357627869,0.4406163990497589,84.60000157356262,58.311952352523804,0.001
16,0.720676064491272,80.0000011920929,0.49442964792251587,82.40000009536743,58.425015449523926,0.001
17,0.7213616371154785,78.75000238418579,0.4648521840572357,83.96999835968018,58.3499870300293,0.001
18,0.7135260701179504,69.9999988079071,0.5461103320121765,81.84000253677368,58.27725386619568,0.001
19,0.710956871509552,72.50000238418579,0.4206746518611908,85.61000227928162,58.85031747817993,0.001
20,0.7132667899131775,68.75,0.43440982699394226,85.15999913215637,58.43292284011841,0.001
21,0.7085049152374268,88.7499988079071,0.38968968391418457,87.00000047683716,58.81057405471802,0.0005
22,0.6493777632713318,80.0000011920929,0.3992045223712921,86.34999990463257,58.09709596633911,0.0005
23,0.6243346929550171,76.2499988079071,0.3906741440296173,86.46000027656555,58.384265661239624,0.0005
24,0.6181866526603699,82.4999988079071,0.3649638295173645,87.55999803543091,58.74425649642944,0.0005
25,0.6138495802879333,72.50000238418579,0.404394268989563,86.28000020980835,57.928422689437866,0.0005
26,0.611193060874939,76.2499988079071,0.3926626145839691,86.91999912261963,58.541932582855225,0.0005
27,0.6055393218994141,72.50000238418579,0.41084936261177063,86.44000291824341,58.54570651054382,0.0005
28,0.6030661463737488,78.75000238418579,0.41018837690353394,85.98999977111816,58.789366245269775,0.0005
29,0.6018198728561401,66.25000238418579,0.356301486492157,87.83000111579895,58.7228307723999,0.0005
30,0.6002479791641235,76.2499988079071,0.36286553740501404,87.6200020313263,58.75980615615845,0.0005
31,0.602262020111084,83.75000357627869,0.37382641434669495,87.20999956130981,58.33726930618286,0.0005
32,0.5973087549209595,72.50000238418579,0.4021766185760498,86.44000291824341,58.40971541404724,0.0005
33,0.5993312001228333,87.5,0.3764510750770569,87.18000054359436,58.554147720336914,0.0005
34,0.5924834609031677,81.25,0.3691961169242859,87.26999759674072,58.660927057266235,0.0005
35,0.5895804762840271,76.2499988079071,0.3782501518726349,87.26000189781189,58.77427935600281,0.0005
36,0.5981155633926392,78.75000238418579,0.322594553232193,88.91000151634216,58.75133466720581,0.00025
37,0.5569446682929993,85.00000238418579,0.32551732659339905,88.95000219345093,58.79826807975769,0.00025
38,0.539598286151886,82.4999988079071,0.3369162976741791,88.510000705719,59.49931287765503,0.00025
39,0.5383493900299072,82.4999988079071,0.33117154240608215,89.02999758720398,58.378490686416626,0.00025
40,0.529361367225647,78.75000238418579,0.3400741219520569,88.38000297546387,58.627891063690186,0.00025
41,0.5347002148628235,77.50000357627869,0.3351542353630066,88.6900007724762,58.33213710784912,0.00025
42,0.5235071778297424,86.2500011920929,0.3446788489818573,88.24999928474426,58.638524532318115,0.00025
43,0.5209242105484009,76.2499988079071,0.33082979917526245,89.02000188827515,58.88899850845337,0.00025
44,0.519781231880188,81.25,0.31727027893066406,89.21999931335449,58.332417011260986,0.00025
45,0.5193415880203247,80.0000011920929,0.31539586186408997,89.30000066757202,58.55909490585327,0.00025
46,0.5204196572303772,85.00000238418579,0.3254855275154114,88.91000151634216,58.810492515563965,0.00025
47,0.514369547367096,82.4999988079071,0.32353460788726807,88.8700008392334,58.52880382537842,0.00025
48,0.5150126814842224,81.25,0.32156577706336975,89.02999758720398,58.9634370803833,0.00025
49,0.5180648565292358,80.0000011920929,0.32898807525634766,88.9299988746643,58.51813220977783,0.00025
50,0.5206077098846436,80.0000011920929,0.32343563437461853,88.81000280380249,58.32731556892395,0.00025
51,0.512231707572937,81.25,0.3323780298233032,88.59999775886536,58.34223508834839,0.00025
52,0.5173488855361938,83.75000357627869,0.29889965057373047,89.91000056266785,58.563727140426636,0.000125
53,0.48744121193885803,81.25,0.2976866066455841,90.21000266075134,58.317704916000366,0.000125
54,0.48041343688964844,86.2500011920929,0.29832923412323,90.0600016117096,58.255125761032104,0.000125
55,0.4711504578590393,80.0000011920929,0.29488280415534973,89.88000154495239,58.5262176990509,0.000125
56,0.47082796692848206,82.4999988079071,0.2932126522064209,90.35000205039978,58.449875593185425,0.000125
57,0.46882081031799316,85.00000238418579,0.29632166028022766,89.89999890327454,58.369699239730835,0.000125
58,0.4678928852081299,83.75000357627869,0.29801005125045776,89.91000056266785,58.88820695877075,0.000125
59,0.4674786329269409,83.75000357627869,0.297545462846756,90.04999995231628,58.39174294471741,0.000125
